Citation,Tags
"Computer Organization and Design: The Hardware/Software Interface by Patterson and Hennessy, Morgan Kaufmann",
"Structured Computer Organization by Andrew Tanenbaum, Prentice Hall.",
"Introduction to Computing Systems: From Bits and Gates to C and Beyond, Second Edition by Patt and Patel, McGraw-Hill.",
"Computer Organization by Hamacher, Vranesic, and Zaky, McGraw-Hill.",
https://web.stanford.edu/class/archive/cs/cs107/cs107.1216/ Computer Organization & Systems,
CS24 Introduction to Computing Systems,
Computation Structures,
"Harris, David, and Sarah Harris. Digital design and computer architecture. Elsevier, 2012.",
Logic and Computer Design Fundamentals by Charles R. Kime and M. Morris Mano,
Computer Architecture: A Quantitative Approach. David A. Patterson y John L. Hennessy.,
The Elements of Computing Systems: Building a Modern Computer from First Principles. Noam Nisan y Shimon Schocken.,
Essentials of Computer Organization and Architecture by Linda Null and https://www.amazon.com/-/es/s/ref=dp_byline_sr_book_2?ie=UTF8&field-author=Julia+Lobur&text=Julia+Lobur&sort=relevancerank&search-alias=books,
CS 61C Great Ideas in Computer Architecture (Machine Structures),
CSE351: The Hardware/Software Interface,
6.004 Computation Structures by MIT,
Computer Architecture,
Lecture Assembly Language & Computer Architecture,
"Jean-Loup Baer. Microprocessor Architecture, From Simple Pipelines to Chip Multiprocessors. Cam- bridge University Press, 2009.",
"Solihin, Yan. Fundamentals of parallel computer architecture. Solihin Publishing Consulting LLC, 2009.",
"Iannucci,  Robert A., et al., eds. Multithreaded computer architecture: A summary of the state of the art. Vol. 281. Springer Science Business Media, 
2012.",
https://exercism.org/tracks/mips,
https://godbolt.org/,
https://courses.missouristate.edu/kenvollmar/mars/,
https://github.com/aleksa-sukovic/mips-visualiser,
"Lague, S. (2020, November 16). Exploring How Computers Work. Youtube. Retrieved from https://www.youtube.com/watch?v=QZwneRb-zqA&t=4s&ab_channel=SebastianLague",
https://www.nand2tetris.org/,
