Cite,Tags
"Course of Theoretical Physics. Lev Landau (Vol. 1–3, 5–8) Evgeny Lifshitz (Vol. 1–10) Vladimir Berestetskii (Vol. 4) Lev Pitaevskii (Vol. 4, 9–10)",
https://ocw.mit.edu/courses/8-01sc-classical-mechanics-fall-2016/pages/online-textbook/,
,
