Name,Tags
Artificial Intelligence. A Modern Approach by Stuart Rusell and Peter Norvig,"Field-defining textbook, book"
Artificial Intelligence by MIT,course
"Winston, Patrick Henry. Artificial Intelligence. 3rd ed. Addison-Wesley, 1992. ISBN: 9780201533774.",book
"Artificial Intelligence. A Guide to Intelligent Systems” Autor:
MICHAEL NEGNEVITSKY",book
CS 188 by Berkeley,course
https://www.youtube.com/watch?v=GHpchgLoDvI&list=PLp6ek2hDcoNB_YJCruBFjhF79f5ZHyBuz,
Artificial Intelligence: Principles and Techniques CS 221 Stanford,course
