Cite,Tags
https://www.youtube.com/watch?v=b16rgLIf8I4&list=PLhQjrBD2T383Vx9-4vJYFsJbvZ_D17Qzh,"CS50, Harvard"
https://gameprogrammingpatterns.com/,
,
