Name,Primitive Data Types
curp,"Uppercase string.
✔ MATJ851230MQTRMS18 
❌ 11111111111111111
❌ TUCURPENMAYUSCULAS
❌ {curp}
❌ asasa"
apiKey,"string
You need to sign up on https://sanchezcarlosjr.com/ for you to get it."
