Name,Why?,Books or crucial papers,Web,Nationality,Awards and honors,Facts,Gender,Education,Social class when born,Languages she or he spokes,Age,Period
Andrew S. Tanenbaum,,,,,,,,,,,,
George Boole,,,,,,self-taught,,,,,,
Konrad Zuse,,,,German,,,,,,,,
David A. Huffman,,,,,,,,,,,,
Anatoly Karatsuba,,,,,,,,,,,,
Arthur C. Clarke,,,,,,,,,,,,
Hal Abelson,,,,,,,,,,,,
Aaron Swartz,,,,,,,,,,,,
Alan Perlis,father of computer science,,,American,Turing Award,first recipient of the Turing Award,Male,MIT,,English,,
Erich Gamma,,,,,,Gang of Four (GoF).,,,,,,
Richard Helm,,,,,,Gang of Four (GoF).,,,,,,
Ralph Johnson,,,,,,Gang of Four (GoF).,,,,,,
John Vlissides,,,,,,,,,,,,
Kent Beck,,,,,,,,,,,,
John Vincent Atanasoff,He invented the first electronic digital computer (Larson 1973),,,American,,,Male,,,,,
Alan Kay,,,,,,,,,,,,
Herman Hollerith,,,,,,self-taught,,,,,,
Vannevar Bush,,,,,,,,,,,,
Héctor García-Molina,,,,,,Advisor to Sergey Brin,,,,,,
Jan Wielemaker,,,,,,,,,,,,
Robert C. Martin,,,,,,,,,,,,
Sir Charles Antony Richard Hoare. Tony Hoare. C. A. R. Hoare.,,,,,,,,,,,,
Martin Fowler,,,,,,,,,,,,
James Gosling,,,,,,,,,,,,
George Stibitz.,,,,,,"Creator of the term ""digital""",,,,,,
Claude Shannon,,,,,,,,,,,,
Paul Graham,,,,,,,,,,,,
Rob Pike,,,,,,,,,,,,
Martin Odersky,,,,,,,,,,,,
Niklaus Emil Wirth,,,,,,,,,,,,
https://blogs.oracle.com/author/andrew-binstock/,,,,,,,,,,,,
George Hotz,,,,,,,,,,,,
Robert S. Langer,,,,,,,,,,,,
Bram Moolenaa,,,,,,,,,,,,
Bill Gates,,,,,,,,,,,0,"October 28, 1955"
Steve Jobs,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Carmen_Ortiz,,,,,,,,,,,,
Kim Dotcom,,,,,,,,,,,,
Sergey Brin,,,,,,,,,,,,
Larry Page,,,,,,,,,,,,
https://freeross.org/,,,,,,,,,,,,
Asimov,,,,,,,,,,,,
Douglas Hofstadter,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Leonard_Adleman,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Howard_Aiken,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Mu%E1%B8%A5ammad_ibn_M%C5%ABs%C4%81_al-Khw%C4%81rizm%C4%AB,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Frances_E._Allen,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Charles_Babbage,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Charles_Bachman,,,,,,,,,,,,
https://en.wikipedia.org/wiki/John_Backus,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Ban%C5%AB_M%C5%ABs%C4%81,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Paul_Baran,,,,,,,,,,,,
https://en.wikipedia.org/wiki/%C3%89mile_Baudot,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Friedrich_L._Bauer,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Richard_E._Bellman,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Yoshua_Bengio,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Geoffrey_Hinton,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Yann_LeCun,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Tim_Berners-Lee,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Manuel_Blum,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Corrado_B%C3%B6hm,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Kathleen_Booth,,,,,,,,,,,,
,,,,,,,,,,,,
Per Brinch Hansen,,A PROGRAMMER’S STORY The Life of a Computer Pioneer,,"American, Danish",,,Male,,,,,
https://en.wikipedia.org/wiki/Fred_Brooks,,,,,,,,,,,,
https://en.wikipedia.org/wiki/L._E._J._Brouwer,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Arthur_Burks,,,,,,,,,,,,
https://en.wikipedia.org/wiki/David_Caminer,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Edwin_Catmull,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Vint_Cerf,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Noam_Chomsky,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Alonzo_Church. Alonzo Church.,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Wesley_A._Clark,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Edmund_M._Clarke,,,,,,,,,,,,
https://en.wikipedia.org/wiki/E._Allen_Emerson.,,,,,,,,,,,,
https://en.wikipedia.org/wiki/John_Cocke_(computer_scientist),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Lynn_Conway,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Stephen_Cook,,,,,,,,,,,,
https://en.wikipedia.org/wiki/James_Cooley,,,,,,,,,,,,
Jhttps://en.wikipedia.org/wiki/John_W._Tukey,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Fernando_J._Corbat%C3%B3,,,,American,,,,,,,,
https://en.wikipedia.org/wiki/Seymour_Cray,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Dave_Cutler,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Ole-Johan_Dahl,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Donald_Davies,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Whitfield_Diffie,,,,,,,,,,,,
https://en.wikipedia.org/wiki/William_Eccles_(physicist),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Frank_Wilfred_Jordan,,,,,,,,,,,,
https://en.wikipedia.org/wiki/J._Presper_Eckert,,,,,,,,,,,,
https://en.wikipedia.org/wiki/John_Mauchly,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Douglas_Engelbart,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Federico_Faggin,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Edward_Feigenbaum,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Elizabeth_Feinler,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Tommy_Flowers,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Sally_Floyd,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Gottlob_Frege,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Stephen_Furber,,,,,,,Male,,,,,
https://en.wikipedia.org/wiki/Sophie_Wilson,,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/Seymour_Ginsburg,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Kurt_G%C3%B6del,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Shafi_Goldwasser,,,,American,,,Female,,,,,
Susan L. Graham,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Frank_Gray_(researcher),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Jim_Gray_(computer_scientist),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Barbara_Grosz,,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/John_Gustafson_(scientist),,,,,,,,,,,,
https://en.wikipedia.org/wiki/Margaret_Hamilton_(scientist),,,,American,,,Female,,,,,
https://en.wikipedia.org/wiki/Richard_Hamming,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Wolfgang_H%C3%A4ndler,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Pat_Hanrahan,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Juris_Hartmanis,,,,,,,,,,,,
https://en.wikipedia.org/wiki/Martin_Hellman,,,,,,,,,,,,
