Name,Tags
Computing Machinery and Intelligence by Turing,paper
The Society of Mind by Marvin Minsky,book
"B. Joy, “Why the Future Doesn’t Need Us,” WIRED, Apr. 2000. [Online]. Available: https://www.wired.com/2000/04/joy-2/
. [Accessed: Aug. 25, 2022]",
"“Will robots steal your job? If you’re highly educated, you should still
 be afraid.,” Slate Magazine, 2011. [Online]. Available: https://www.slate.com/articles/technology/robot_invasion/2011/09/will_robots_steal_your_job.html
. [Accessed: Aug. 25, 2022]",
"Race Against The Machine: How the Digital Revolution is 
Accelerating Innovation, Driving Productivity, and Irreversibly 
Transforming Employment and the Economy
, by Erik Brynjolfsson and Andrew McAfee,",
https://plato.stanford.edu/entries/artificial-intelligence/,
https://aima.cs.berkeley.edu/,
La mente. Introduccion a las ciencias cognitivas. Paul Thagard.,
Paradigms of Artificial Intelligence Programming: case studies in Common LISP by Peter Norvig,
