Name,Author
Using Python for Research,"HarvardX PH526x, Jukka-Pekka ""JP"" Onnela"
The Art of Doing Science and Engineering: Learning to Learn,
https://web.mit.edu/6.829/www/currentsemester/papers/howtoread.pdf,
