Name,Tags
"McCarthy, J. A basis for a mathematical theory of computation. In Computer Programming and Formal Systems
, P. Braffort and D. Hirschberg, Eds. North-Holland Publishing Company, Amsterdam, The Netherlands, 1963, 3370.",
,
,
