Name,Tags
The Pragmatic Programmer,
"The Practice of Programming
 (https://en.wikipedia.org/wiki/ISBN_(identifier)
 https://en.wikipedia.org/wiki/Special:BookSources/0-201-61586-X
) by https://en.wikipedia.org/wiki/Brian_Kernighan
 and https://en.wikipedia.org/wiki/Rob_Pike",
The Mythical Man-Month: Essays on Software Engineering,
