Name,Priority,Status,Submitted to work
Do you have an 'About' page?,High,,No
The customer support number is displayed in the footer,High,,No
Does the website have reviews from real customers?,High,,No
Company's physical address is present on the website,Middle,,No
"Users can find company certificates, awards or diplomas on the website",Middle,,No
"Users can check the credibility of certificates, reviews etc",High,,No
