Name,Priority,Status,Submitted to work
Navigation is consistent,High,,No
There is room for future navigation growth,High,,No
Users can navigate back and forth on any page,High,,No
A search bar is present and visible on every page (for larger applications),Middle,,No
Related information should be grouped together,Middle,,No
Users can skip onboarding,Low,,No
