Name,Tags
Computer Architecture,"ETH Zürich, Onur Mutlu, YouTube"
Lecture Assembly Language & Computer Architecture,"Charles Leiserson, MIT OpenCourseWare"
https://godbolt.org/,compiler
"Jean-Loup Baer. Microprocessor Architecture, From Simple Pipelines to Chip Multiprocessors. Cam- bridge University Press, 2009.",
"Solihin, Yan. Fundamentals of parallel computer architecture. Solihin Publishing Consulting LLC, 2009.",
"Iannucci,
 Robert A., et al., eds. Multithreaded computer architecture: A summary 
of the state of the art. Vol. 281. Springer Science Business Media, 
2012.",
